epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,105.469,0.97231,0.56097,1.1951,0.99457,0.96667,0.96909,0.70213,1.00492,0.57776,1.17206,0.005743,0.005743,0.005743
45,108.364,0.9653,0.56462,1.1463,0.99224,0.96667,0.97547,0.71515,0.99886,0.57121,1.16599,0.005644,0.005644,0.005644
46,110.847,0.93168,0.57888,1.16824,0.99286,0.96667,0.97349,0.72394,0.9884,0.5865,1.16709,0.005545,0.005545,0.005545
47,112.959,1.00502,0.58697,1.19761,0.99082,0.96667,0.99227,0.72822,1.01154,0.62085,1.21424,0.005446,0.005446,0.005446
48,115.099,0.99853,0.55096,1.20906,0.9875,0.96667,0.99227,0.71671,0.99377,0.59198,1.21044,0.005347,0.005347,0.005347
49,117.183,0.97322,0.54782,1.18815,0.99253,0.96667,0.99227,0.70401,0.97214,0.58037,1.19358,0.005248,0.005248,0.005248
50,119.364,0.94818,0.5451,1.15647,0.99,0.96667,0.99403,0.71585,1.02409,0.58875,1.17809,0.005149,0.005149,0.005149
51,122.364,0.91985,0.54121,1.19038,0.98034,1,0.995,0.68423,1.11864,0.63238,1.17345,0.00505,0.00505,0.00505
52,124.55,0.95618,0.55593,1.20947,0.98754,1,0.995,0.69361,1.00521,0.61531,1.17549,0.004951,0.004951,0.004951
53,127.055,0.9481,0.54979,1.18845,0.93841,1,0.9779,0.69937,1.00063,0.66091,1.19121,0.004852,0.004852,0.004852
54,129.275,0.89542,0.52913,1.14165,0.94032,0.96667,0.99212,0.72063,1.01115,0.56148,1.19578,0.004753,0.004753,0.004753
55,132.244,0.93898,0.52886,1.19274,0.96683,1,0.99403,0.71727,1.01736,0.5028,1.21089,0.004654,0.004654,0.004654
56,135.003,0.93926,0.51812,1.1582,1,0.99965,0.995,0.72376,0.95519,0.51223,1.16483,0.004555,0.004555,0.004555
57,137.196,0.9362,0.53829,1.16913,0.99656,0.96667,0.99403,0.73812,0.91692,0.49763,1.13526,0.004456,0.004456,0.004456
58,139.22,0.90061,0.51521,1.13916,0.99531,0.96667,0.99147,0.74949,0.90248,0.51114,1.09319,0.004357,0.004357,0.004357
59,141.296,0.92687,0.52239,1.14426,0.99733,0.96667,0.9875,0.74574,0.90924,0.49965,1.10043,0.004258,0.004258,0.004258
60,143.327,0.95041,0.51552,1.16442,1,0.96497,0.97584,0.7229,0.91984,0.48944,1.11334,0.004159,0.004159,0.004159
61,145.731,0.94089,0.52825,1.16118,0.99798,0.96667,0.97906,0.69569,1.02757,0.51374,1.18815,0.00406,0.00406,0.00406
62,148.505,1.00283,0.53669,1.2127,0.99762,0.96667,0.97235,0.68983,1.02041,0.53329,1.18012,0.003961,0.003961,0.003961
63,150.569,0.93141,0.52363,1.18583,0.99674,0.96667,0.96717,0.71032,0.96407,0.56888,1.12444,0.003862,0.003862,0.003862
64,152.626,0.91827,0.50454,1.14545,0.99321,0.96667,0.96826,0.71727,0.96701,0.63807,1.12551,0.003763,0.003763,0.003763
65,155.393,0.89513,0.51822,1.14203,0.98662,0.9,0.96031,0.69586,0.9414,0.68018,1.127,0.003664,0.003664,0.003664
66,157.466,0.96283,0.5428,1.17679,0.98894,0.9,0.95522,0.70544,0.94309,0.68704,1.12488,0.003565,0.003565,0.003565
67,161.713,0.89959,0.51754,1.14272,1,0.9271,0.9614,0.69431,0.98744,0.62017,1.10702,0.003466,0.003466,0.003466
68,163.797,0.9211,0.50848,1.15488,0.99695,0.86667,0.95662,0.68514,1.05084,0.68636,1.12361,0.003367,0.003367,0.003367
69,165.818,0.88725,0.50693,1.12955,0.95437,0.83333,0.91677,0.65363,1.13031,0.86516,1.18389,0.003268,0.003268,0.003268
70,167.864,0.90219,0.49388,1.14781,0.9598,0.79598,0.8524,0.56275,1.39975,1.11422,1.33596,0.003169,0.003169,0.003169
71,169.914,0.91273,0.50906,1.13834,0.96732,0.8,0.84502,0.41798,1.86097,0.99068,1.45267,0.00307,0.00307,0.00307
72,172.484,0.88747,0.51022,1.12931,1,0.87292,0.94457,0.49398,1.51859,0.7261,1.37907,0.002971,0.002971,0.002971
73,175.151,0.93119,0.51156,1.1464,1,0.95953,0.96569,0.58669,1.25242,0.71466,1.28281,0.002872,0.002872,0.002872
74,177.258,0.86081,0.48706,1.10124,1,0.96233,0.96633,0.63637,1.17263,0.58352,1.20646,0.002773,0.002773,0.002773
75,179.314,0.867,0.47684,1.12643,0.96085,0.93333,0.9679,0.64734,1.20913,0.58795,1.21607,0.002674,0.002674,0.002674
76,181.343,0.84717,0.45151,1.15186,0.93206,0.91491,0.95553,0.67628,1.18736,0.60592,1.18663,0.002575,0.002575,0.002575
77,183.476,0.9167,0.48059,1.16764,0.99111,0.86667,0.9157,0.67118,1.15224,0.72879,1.22463,0.002476,0.002476,0.002476
78,186.343,0.86195,0.48844,1.14649,0.89583,0.86019,0.88983,0.67513,1.16575,1.11761,1.33771,0.002377,0.002377,0.002377
